E2,Time,Celsius(�C),Humidity(%rh),Dew Point(�C),Serial Number
1,2023-10-19 12:00:00,16.5,62,9.2,10031964
2,2023-10-19 12:05:00,16.5,62,9.2,
3,2023-10-19 12:10:00,16.5,62,9.2,
4,2023-10-19 12:15:00,16.5,62,9.2,
5,2023-10-19 12:20:00,16.5,62,9.2,
6,2023-10-19 12:25:00,16.5,62,9.2,
7,2023-10-19 12:30:00,16.5,62,9.2,
8,2023-10-19 12:35:00,16.5,62,9.2,
9,2023-10-19 12:40:00,16.5,62,9.2,
10,2023-10-19 12:45:00,16.5,62,9.2,
11,2023-10-19 12:50:00,16.5,62,9.2,
12,2023-10-19 12:55:00,16.5,62,9.2,
13,2023-10-19 13:00:00,16.5,62,9.2,
14,2023-10-19 13:05:00,16.5,62,9.2,
15,2023-10-19 13:10:00,16.5,62,9.2,
16,2023-10-19 13:15:00,16.5,62,9.2,
17,2023-10-19 13:20:00,16.5,62,9.2,
18,2023-10-19 13:25:00,16.5,62,9.2,
19,2023-10-19 13:30:00,16.5,62,9.2,
20,2023-10-19 13:35:00,16.5,62,9.2,
21,2023-10-19 13:40:00,16.5,62,9.2,
22,2023-10-19 13:45:00,16.5,62,9.2,
23,2023-10-19 13:50:00,16.5,62,9.2,
24,2023-10-19 13:55:00,16.5,62,9.2,
25,2023-10-19 14:00:00,16.5,62,9.2,
26,2023-10-19 14:05:00,16.5,62,9.2,
27,2023-10-19 14:10:00,16.5,62,9.2,
28,2023-10-19 14:15:00,16.5,62,9.2,
29,2023-10-19 14:20:00,16.5,62,9.2,
30,2023-10-19 14:25:00,17,62,9.7,
31,2023-10-19 14:30:00,17,62,9.7,
32,2023-10-19 14:35:00,17,62,9.7,
33,2023-10-19 14:40:00,17,62,9.7,
34,2023-10-19 14:45:00,17,62,9.7,
35,2023-10-19 14:50:00,17,62,9.7,
36,2023-10-19 14:55:00,17,62,9.7,
37,2023-10-19 15:00:00,17,62,9.7,
38,2023-10-19 15:05:00,17,62,9.7,
39,2023-10-19 15:10:00,17,62,9.7,
40,2023-10-19 15:15:00,17,62,9.7,
41,2023-10-19 15:20:00,17,62,9.7,
42,2023-10-19 15:25:00,17,62,9.7,
43,2023-10-19 15:30:00,17,62,9.7,
44,2023-10-19 15:35:00,17,62,9.7,
45,2023-10-19 15:40:00,17,62,9.7,
46,2023-10-19 15:45:00,17,62,9.7,
47,2023-10-19 15:50:00,17,62,9.7,
48,2023-10-19 15:55:00,17,62,9.7,
49,2023-10-19 16:00:00,17,62,9.7,
50,2023-10-19 16:05:00,17,62,9.7,
51,2023-10-19 16:10:00,17,62,9.7,
52,2023-10-19 16:15:00,17,62,9.7,
53,2023-10-19 16:20:00,17,62,9.7,
54,2023-10-19 16:25:00,17,62,9.7,
55,2023-10-19 16:30:00,17,62,9.7,
56,2023-10-19 16:35:00,17,62,9.7,
57,2023-10-19 16:40:00,17,62,9.7,
58,2023-10-19 16:45:00,17,62,9.7,
59,2023-10-19 16:50:00,17,62,9.7,
60,2023-10-19 16:55:00,17,62,9.7,
61,2023-10-19 17:00:00,17,62,9.7,
62,2023-10-19 17:05:00,17,62,9.7,
63,2023-10-19 17:10:00,17,62,9.7,
64,2023-10-19 17:15:00,17,62,9.7,
65,2023-10-19 17:20:00,17,62,9.7,
66,2023-10-19 17:25:00,17,62,9.7,
67,2023-10-19 17:30:00,17,62,9.7,
68,2023-10-19 17:35:00,17,62,9.7,
69,2023-10-19 17:40:00,17,62,9.7,
70,2023-10-19 17:45:00,17,62,9.7,
71,2023-10-19 17:50:00,17,62,9.7,
72,2023-10-19 17:55:00,17,62,9.7,
73,2023-10-19 18:00:00,17,62,9.7,
74,2023-10-19 18:05:00,17,62,9.7,
75,2023-10-19 18:10:00,17,62,9.7,
76,2023-10-19 18:15:00,17,62,9.7,
77,2023-10-19 18:20:00,17,62,9.7,
78,2023-10-19 18:25:00,17,62,9.7,
79,2023-10-19 18:30:00,17,62,9.7,
80,2023-10-19 18:35:00,17,62,9.7,
81,2023-10-19 18:40:00,17,62,9.7,
82,2023-10-19 18:45:00,17,62,9.7,
83,2023-10-19 18:50:00,17,62,9.7,
84,2023-10-19 18:55:00,17,62,9.7,
85,2023-10-19 19:00:00,17,62,9.7,
86,2023-10-19 19:05:00,17,62,9.7,
87,2023-10-19 19:10:00,17,62,9.7,
88,2023-10-19 19:15:00,17,62,9.7,
89,2023-10-19 19:20:00,17,62,9.7,
90,2023-10-19 19:25:00,17,62,9.7,
91,2023-10-19 19:30:00,17,62,9.7,
92,2023-10-19 19:35:00,17,62,9.7,
93,2023-10-19 19:40:00,17,62,9.7,
94,2023-10-19 19:45:00,17,62,9.7,
95,2023-10-19 19:50:00,17,62,9.7,
96,2023-10-19 19:55:00,17,62,9.7,
97,2023-10-19 20:00:00,17,62,9.7,
98,2023-10-19 20:05:00,17,62,9.7,
99,2023-10-19 20:10:00,17,62,9.7,
100,2023-10-19 20:15:00,17,62,9.7,
101,2023-10-19 20:20:00,17,62,9.7,
102,2023-10-19 20:25:00,17,62,9.7,
103,2023-10-19 20:30:00,17,62,9.7,
104,2023-10-19 20:35:00,17,62,9.7,
105,2023-10-19 20:40:00,17,62,9.7,
106,2023-10-19 20:45:00,17,62,9.7,
107,2023-10-19 20:50:00,17,62,9.7,
108,2023-10-19 20:55:00,17,62,9.7,
109,2023-10-19 21:00:00,17,62,9.7,
110,2023-10-19 21:05:00,17,62,9.7,
111,2023-10-19 21:10:00,17,62,9.7,
112,2023-10-19 21:15:00,17,62,9.7,
113,2023-10-19 21:20:00,17,62,9.7,
114,2023-10-19 21:25:00,17,62,9.7,
115,2023-10-19 21:30:00,17,62,9.7,
116,2023-10-19 21:35:00,17,62,9.7,
117,2023-10-19 21:40:00,17,62,9.7,
118,2023-10-19 21:45:00,17,62,9.7,
119,2023-10-19 21:50:00,17,62,9.7,
120,2023-10-19 21:55:00,17,62,9.7,
121,2023-10-19 22:00:00,17,62,9.7,
122,2023-10-19 22:05:00,17,62,9.7,
123,2023-10-19 22:10:00,17,62,9.7,
124,2023-10-19 22:15:00,17,62,9.7,
125,2023-10-19 22:20:00,17,62,9.7,
126,2023-10-19 22:25:00,17,62,9.7,
127,2023-10-19 22:30:00,17,62,9.7,
128,2023-10-19 22:35:00,17,62,9.7,
129,2023-10-19 22:40:00,17,62,9.7,
130,2023-10-19 22:45:00,17,62,9.7,
