E6,Time,Celsius(�C),Serial Number
1,2023-10-19 12:00:00,17,52268441
2,2023-10-19 12:05:00,17,
3,2023-10-19 12:10:00,17,
4,2023-10-19 12:15:00,17,
5,2023-10-19 12:20:00,17,
6,2023-10-19 12:25:00,17,
7,2023-10-19 12:30:00,17,
8,2023-10-19 12:35:00,17,
9,2023-10-19 12:40:00,17,
10,2023-10-19 12:45:00,17,
11,2023-10-19 12:50:00,17,
12,2023-10-19 12:55:00,17,
13,2023-10-19 13:00:00,17,
14,2023-10-19 13:05:00,17,
15,2023-10-19 13:10:00,17,
16,2023-10-19 13:15:00,17,
17,2023-10-19 13:20:00,17,
18,2023-10-19 13:25:00,17,
19,2023-10-19 13:30:00,17,
20,2023-10-19 13:35:00,17,
21,2023-10-19 13:40:00,17,
22,2023-10-19 13:45:00,17,
23,2023-10-19 13:50:00,17,
24,2023-10-19 13:55:00,17,
25,2023-10-19 14:00:00,17,
26,2023-10-19 14:05:00,17,
27,2023-10-19 14:10:00,17,
28,2023-10-19 14:15:00,17,
29,2023-10-19 14:20:00,17,
30,2023-10-19 14:25:00,17,
31,2023-10-19 14:30:00,17,
32,2023-10-19 14:35:00,17,
33,2023-10-19 14:40:00,17,
34,2023-10-19 14:45:00,17,
35,2023-10-19 14:50:00,17,
36,2023-10-19 14:55:00,17,
37,2023-10-19 15:00:00,17,
38,2023-10-19 15:05:00,17,
39,2023-10-19 15:10:00,17,
40,2023-10-19 15:15:00,17,
41,2023-10-19 15:20:00,17,
42,2023-10-19 15:25:00,17,
43,2023-10-19 15:30:00,17,
44,2023-10-19 15:35:00,17,
45,2023-10-19 15:40:00,17,
46,2023-10-19 15:45:00,17,
47,2023-10-19 15:50:00,17,
48,2023-10-19 15:55:00,17,
49,2023-10-19 16:00:00,17,
50,2023-10-19 16:05:00,17,
51,2023-10-19 16:10:00,17,
52,2023-10-19 16:15:00,17,
53,2023-10-19 16:20:00,17,
54,2023-10-19 16:25:00,17,
55,2023-10-19 16:30:00,17,
56,2023-10-19 16:35:00,17,
57,2023-10-19 16:40:00,17,
58,2023-10-19 16:45:00,17,
59,2023-10-19 16:50:00,17,
60,2023-10-19 16:55:00,17,
61,2023-10-19 17:00:00,17,
62,2023-10-19 17:05:00,17,
63,2023-10-19 17:10:00,17,
64,2023-10-19 17:15:00,17,
65,2023-10-19 17:20:00,17,
66,2023-10-19 17:25:00,17,
67,2023-10-19 17:30:00,17,
68,2023-10-19 17:35:00,17,
69,2023-10-19 17:40:00,17,
70,2023-10-19 17:45:00,17,
