startHeat,endHeat
2024-11-20T09:00:00Z,2024-11-20T15:30:00Z
2024-11-21T09:00:00Z,2024-11-21T21:00:00Z
2024-11-22T09:00:00Z,2024-11-22T20:30:00Z
2024-11-23T09:00:00Z,2024-11-23T15:30:00Z
2024-11-24T09:00:00Z,2024-11-24T14:30:00Z
2024-11-24T17:30:00Z,2024-11-24T20:00:00Z
2024-11-25T09:00:00Z,2024-11-25T14:30:00Z
2024-11-25T17:30:00Z,2024-11-25T20:00:00Z
2024-11-26T09:00:00Z,2024-11-26T14:30:00Z
2024-11-26T17:30:00Z,2024-11-26T20:00:00Z
2024-11-27T09:00:00Z,2024-11-27T15:30:00Z
2024-11-28T09:00:00Z,2024-11-28T21:00:00Z
2024-11-29T09:00:00Z,2024-11-29T20:30:00Z
2024-11-30T09:00:00Z,2024-11-30T15:30:00Z
2024-12-01T09:00:00Z,2024-12-01T14:30:00Z
2025-02-26T09:00:00Z,2025-02-26T15:30:00Z
2025-02-27T09:00:00Z,2025-02-27T21:00:00Z
2025-02-28T09:00:00Z,2025-02-28T20:30:00Z
2025-03-01T09:00:00Z,2025-03-01T15:30:00Z
2025-03-02T09:00:00Z,2025-03-02T14:30:00Z
2025-03-02T17:30:00Z,2025-03-02T20:00:00Z
2025-03-03T09:00:00Z,2025-03-03T14:30:00Z
2025-03-03T17:30:00Z,2025-03-03T20:00:00Z
2025-03-04T09:00:00Z,2025-03-04T14:30:00Z
2025-03-04T17:30:00Z,2025-03-04T20:00:00Z
2025-03-05T09:00:00Z,2025-03-05T15:30:00Z
2025-03-06T09:00:00Z,2025-03-06T21:00:00Z
2025-03-07T09:00:00Z,2025-03-07T20:30:00Z
2025-03-08T09:00:00Z,2025-03-08T15:30:00Z
2025-03-09T09:00:00Z,2025-03-09T14:30:00Z
