time,temperature,rh
15-12-2024 12:30,17.2,56
15-12-2024 13:00,17.1,56
15-12-2024 13:30,17.0,56
15-12-2024 14:00,16.8,56
15-12-2024 14:30,16.5,57
15-12-2024 15:00,16.3,57
15-12-2024 15:30,16.4,57
15-12-2024 16:00,16.8,57
15-12-2024 16:30,17.5,57
15-12-2024 17:00,17.5,57
15-12-2024 17:30,17.4,57
15-12-2024 18:00,17.2,57
15-12-2024 18:30,16.9,57
15-12-2024 19:00,16.7,57
15-12-2024 19:30,16.5,57
15-12-2024 20:00,16.3,57
15-12-2024 20:30,16.2,57
15-12-2024 21:00,16.1,58
15-12-2024 21:30,15.9,58
15-12-2024 22:00,15.8,58
15-12-2024 22:30,15.7,58
15-12-2024 23:00,15.5,59
15-12-2024 23:30,15.5,59
16-12-2024 0:00,15.4,59
16-12-2024 0:30,15.3,59
16-12-2024 1:00,15.3,59
16-12-2024 1:30,15.2,59
16-12-2024 2:00,15.0,59
16-12-2024 2:30,14.9,59
16-12-2024 3:00,14.8,59
16-12-2024 3:30,14.8,59
16-12-2024 4:00,14.7,59
16-12-2024 4:30,14.6,59
16-12-2024 5:00,14.5,59
16-12-2024 5:30,14.5,59
16-12-2024 6:00,14.5,60
16-12-2024 6:30,14.5,59
16-12-2024 7:00,14.5,59
16-12-2024 7:30,14.5,59
16-12-2024 8:00,14.5,59
16-12-2024 8:30,14.4,60
16-12-2024 9:00,14.3,60
16-12-2024 9:30,14.3,60
16-12-2024 10:00,14.2,60
16-12-2024 10:30,14.3,60
16-12-2024 11:00,14.3,60
16-12-2024 11:30,14.3,60
16-12-2024 12:00,14.3,60
16-12-2024 12:30,14.2,60
16-12-2024 13:00,14.2,60
16-12-2024 13:30,14.2,60
16-12-2024 14:00,14.2,60
16-12-2024 14:30,14.2,60
16-12-2024 15:00,14.1,60
16-12-2024 15:30,14.1,60
16-12-2024 16:00,14.0,60
16-12-2024 16:30,14.1,60
16-12-2024 17:00,14.0,60
16-12-2024 17:30,13.9,60
16-12-2024 18:00,14.1,60
16-12-2024 18:30,14.3,60
16-12-2024 19:00,14.8,60
16-12-2024 19:30,15.3,60
16-12-2024 20:00,15.9,60
16-12-2024 20:30,16.3,59
16-12-2024 21:00,16.5,59
16-12-2024 21:30,16.4,59
16-12-2024 22:00,16.2,59
16-12-2024 22:30,16.1,59
16-12-2024 23:00,16.0,59
16-12-2024 23:30,15.9,59
17-12-2024 0:00,15.8,59
17-12-2024 0:30,15.6,59
17-12-2024 1:00,15.5,59
17-12-2024 1:30,15.4,59
17-12-2024 2:00,15.3,59
17-12-2024 2:30,15.2,59
17-12-2024 3:00,15.1,59
17-12-2024 3:30,15.1,59
17-12-2024 4:00,15.0,59
17-12-2024 4:30,15.0,59
17-12-2024 5:00,14.9,59
17-12-2024 5:30,14.8,59
17-12-2024 6:00,14.8,59
17-12-2024 6:30,14.8,59
17-12-2024 7:00,14.7,59
17-12-2024 7:30,14.6,59
17-12-2024 8:00,14.5,59
17-12-2024 8:30,14.5,59
17-12-2024 9:00,14.5,59
17-12-2024 9:30,14.5,59
17-12-2024 10:00,14.4,59
17-12-2024 10:30,14.4,59
17-12-2024 11:00,14.4,59
17-12-2024 11:30,14.8,59
17-12-2024 12:00,15.4,60
17-12-2024 12:30,16.3,60
17-12-2024 13:00,17.0,59
17-12-2024 13:30,17.1,59
17-12-2024 14:00,17.2,59
17-12-2024 14:30,17.1,59
17-12-2024 15:00,16.9,59
17-12-2024 15:30,16.8,59
17-12-2024 16:00,16.6,59
17-12-2024 16:30,16.6,59
17-12-2024 17:00,16.9,59
17-12-2024 17:30,17.2,59
17-12-2024 18:00,17.5,59
17-12-2024 18:30,17.9,57
17-12-2024 19:00,18.1,57
17-12-2024 19:30,18.1,57
17-12-2024 20:00,17.9,56
17-12-2024 20:30,17.8,56
17-12-2024 21:00,17.5,59
17-12-2024 21:30,17.3,59
17-12-2024 22:00,17.1,59
17-12-2024 22:30,17.0,59
17-12-2024 23:00,16.8,59
17-12-2024 23:30,16.7,59
18-12-2024 0:00,16.5,59
18-12-2024 0:30,16.4,59
18-12-2024 1:00,16.3,59
18-12-2024 1:30,16.3,59
18-12-2024 2:00,16.2,59
18-12-2024 2:30,16.2,59
18-12-2024 3:00,16.1,60
18-12-2024 3:30,16.0,60
18-12-2024 4:00,16.0,60
18-12-2024 4:30,15.9,60
18-12-2024 5:00,15.9,60
18-12-2024 5:30,15.8,60
18-12-2024 6:00,15.8,60
18-12-2024 6:30,15.8,60
18-12-2024 7:00,15.8,61
18-12-2024 7:30,15.7,61
18-12-2024 8:00,15.6,61
18-12-2024 8:30,15.6,61
18-12-2024 9:00,15.7,61
18-12-2024 9:30,15.6,60
18-12-2024 10:00,15.6,60
