Timestamp for sample frequency every 30min
﻿Date,Time,Temperature_Celsius,Relative_Humidity(%)
﻿15/12/2024,12:00,18.3,51
﻿15/12/2024,12:30,16.6,56
﻿15/12/2024,13:00,16.7,56
﻿15/12/2024,13:30,16.7,56
﻿15/12/2024,14:00,16.6,56
﻿15/12/2024,14:30,16.5,56
﻿15/12/2024,15:00,16.4,56
﻿15/12/2024,15:30,16.4,56
﻿15/12/2024,16:00,16.6,56
﻿15/12/2024,16:30,16.8,57
﻿15/12/2024,17:00,17.0,57
﻿15/12/2024,17:30,17.1,57
﻿15/12/2024,18:00,17.1,57
﻿15/12/2024,18:30,16.9,56
﻿15/12/2024,19:00,16.8,56
﻿15/12/2024,19:30,16.6,56
﻿15/12/2024,20:00,16.5,56
﻿15/12/2024,20:30,16.3,56
﻿15/12/2024,21:00,16.2,56
﻿15/12/2024,21:30,16.1,56
﻿15/12/2024,22:00,15.9,56
﻿15/12/2024,22:30,15.8,56
﻿15/12/2024,23:00,15.7,56
﻿15/12/2024,23:30,15.5,56
﻿16/12/2024,0:00,15.4,56
﻿16/12/2024,0:30,15.3,56
﻿16/12/2024,1:00,15.2,56
﻿16/12/2024,1:30,15.2,56
﻿16/12/2024,2:00,15.1,56
﻿16/12/2024,2:30,15.0,56
﻿16/12/2024,3:00,14.9,56
﻿16/12/2024,3:30,14.8,56
﻿16/12/2024,4:00,14.8,56
﻿16/12/2024,4:30,14.7,56
﻿16/12/2024,5:00,14.6,57
﻿16/12/2024,5:30,14.5,57
﻿16/12/2024,6:00,14.5,57
﻿16/12/2024,6:30,14.5,57
﻿16/12/2024,7:00,14.5,57
﻿16/12/2024,7:30,14.4,57
﻿16/12/2024,8:00,14.4,57
﻿16/12/2024,8:30,14.4,57
﻿16/12/2024,9:00,14.3,57
﻿16/12/2024,9:30,14.3,57
﻿16/12/2024,10:00,14.3,57
﻿16/12/2024,10:30,14.3,57
﻿16/12/2024,11:00,14.2,57
﻿16/12/2024,11:30,14.2,57
﻿16/12/2024,12:00,14.2,57
﻿16/12/2024,12:30,14.2,57
﻿16/12/2024,13:00,14.2,57
﻿16/12/2024,13:30,14.2,57
﻿16/12/2024,14:00,14.1,57
﻿16/12/2024,14:30,14.1,57
﻿16/12/2024,15:00,14.1,57
﻿16/12/2024,15:30,14.1,57
﻿16/12/2024,16:00,14.1,57
﻿16/12/2024,16:30,14.0,57
﻿16/12/2024,17:00,14.0,57
﻿16/12/2024,17:30,14.0,57
﻿16/12/2024,18:00,14.0,57
﻿16/12/2024,18:30,14.2,57
﻿16/12/2024,19:00,14.4,57
﻿16/12/2024,19:30,14.8,57
﻿16/12/2024,20:00,15.2,58
﻿16/12/2024,20:30,15.6,58
﻿16/12/2024,21:00,15.9,58
﻿16/12/2024,21:30,16.0,57
﻿16/12/2024,22:00,16.0,57
﻿16/12/2024,22:30,16.0,57
﻿16/12/2024,23:00,16.0,57
﻿16/12/2024,23:30,15.9,57
﻿17/12/2024,0:00,15.8,57
﻿17/12/2024,0:30,15.8,57
﻿17/12/2024,1:00,15.6,57
﻿17/12/2024,1:30,15.5,57
﻿17/12/2024,2:00,15.4,56
﻿17/12/2024,2:30,15.3,56
﻿17/12/2024,3:00,15.3,56
﻿17/12/2024,3:30,15.2,56
﻿17/12/2024,4:00,15.1,56
﻿17/12/2024,4:30,15.1,56
﻿17/12/2024,5:00,15.1,56
﻿17/12/2024,5:30,14.9,56
﻿17/12/2024,6:00,14.9,56
﻿17/12/2024,6:30,14.9,56
﻿17/12/2024,7:00,14.8,56
﻿17/12/2024,7:30,14.8,56
﻿17/12/2024,8:00,14.7,56
﻿17/12/2024,8:30,14.7,56
﻿17/12/2024,9:00,14.6,56
﻿17/12/2024,9:30,14.5,56
﻿17/12/2024,10:00,14.5,56
﻿17/12/2024,10:30,14.5,56
