Timestamp for sample frequency every 15 min,Temperature_Celsius,Relative_Humidity(%),unambiguous_time
25/11/2024 11:45,19,47,25/11/2024 11:45
25/11/2024 12:00,17.1,49,25/11/2024 12:00
25/11/2024 12:15,18.5,50,25/11/2024 12:15
25/11/2024 12:30,18.1,51,25/11/2024 12:30
25/11/2024 12:45,17.6,51,25/11/2024 12:45
25/11/2024 01:00,16.9,54,25/11/2024 13:00
25/11/2024 01:15,17.1,53,25/11/2024 13:15
25/11/2024 01:30,17.8,50,25/11/2024 13:30
25/11/2024 01:45,17.8,49,25/11/2024 13:45
25/11/2024 02:00,17.5,51,25/11/2024 14:00
25/11/2024 02:15,17.1,51,25/11/2024 14:15
25/11/2024 02:30,16.8,51,25/11/2024 14:30
25/11/2024 02:45,16.4,51,25/11/2024 14:45
25/11/2024 03:00,16.1,52,25/11/2024 15:00
25/11/2024 03:15,15.9,54,25/11/2024 15:15
25/11/2024 03:30,15.7,54,25/11/2024 15:30
25/11/2024 03:45,15.5,54,25/11/2024 15:45
25/11/2024 04:00,15.3,53,25/11/2024 16:00
25/11/2024 04:15,15.1,53,25/11/2024 16:15
25/11/2024 04:30,15,53,25/11/2024 16:30
25/11/2024 04:45,14.8,52,25/11/2024 16:45
25/11/2024 05:00,14.5,52,25/11/2024 17:00
25/11/2024 05:15,14.3,52,25/11/2024 17:15
25/11/2024 05:30,14.1,52,25/11/2024 17:30
25/11/2024 05:45,13.9,52,25/11/2024 17:45
25/11/2024 06:00,13.8,52,25/11/2024 18:00
25/11/2024 06:15,13.6,52,25/11/2024 18:15
25/11/2024 06:30,13.4,52,25/11/2024 18:30
25/11/2024 06:45,13.3,52,25/11/2024 18:45
25/11/2024 07:00,13.2,53,25/11/2024 19:00
25/11/2024 07:15,13.1,53,25/11/2024 19:15
25/11/2024 07:30,13,53,25/11/2024 19:30
25/11/2024 07:45,12.9,53,25/11/2024 19:45
25/11/2024 08:00,12.8,53,25/11/2024 20:00
25/11/2024 08:15,12.8,53,25/11/2024 20:15
25/11/2024 08:30,12.6,53,25/11/2024 20:30
25/11/2024 08:45,12.5,55,25/11/2024 20:45
25/11/2024 09:00,12.5,55,25/11/2024 21:00
25/11/2024 09:15,12.4,55,25/11/2024 21:15
25/11/2024 09:30,12.3,55,25/11/2024 21:30
25/11/2024 09:45,12.3,55,25/11/2024 21:45
25/11/2024 10:00,12.2,55,25/11/2024 22:00
25/11/2024 10:15,12.2,56,25/11/2024 22:15
25/11/2024 10:30,12.1,56,25/11/2024 22:30
25/11/2024 10:45,12.1,56,25/11/2024 22:45
25/11/2024 11:00,12,56,25/11/2024 23:00
25/11/2024 11:15,11.9,56,25/11/2024 23:15
25/11/2024 11:30,11.9,56,25/11/2024 23:30
25/11/2024 11:45,11.8,56,25/11/2024 23:45
26/11/2024 12:00,11.8,56,26/11/2024 00:00
26/11/2024 12:15,11.8,56,26/11/2024 00:15
26/11/2024 12:30,11.7,56,26/11/2024 00:30
