time,temperature,rh
17/01/2025 12:54,17.5,53
17/01/2025 12:55,17.5,54
17/01/2025 13:00,17.5,54
17/01/2025 13:05,17.5,54
17/01/2025 13:10,17.5,54
17/01/2025 13:15,17.4,54
17/01/2025 13:20,17.4,54
17/01/2025 13:25,17.4,54
17/01/2025 13:30,17.4,54
17/01/2025 13:35,17.4,54
17/01/2025 13:40,17.4,54
17/01/2025 13:45,17.5,54
17/01/2025 13:50,17.5,54
17/01/2025 13:55,17.5,54
17/01/2025 14:00,17.6,51
17/01/2025 14:05,17.6,51
17/01/2025 14:10,17.7,51
17/01/2025 14:15,17.8,51
17/01/2025 14:20,17.8,51
17/01/2025 14:25,17.8,51
17/01/2025 14:30,17.9,51
17/01/2025 14:35,17.9,51
17/01/2025 14:40,17.9,51
17/01/2025 14:45,17.9,51
17/01/2025 14:50,18.0,51
17/01/2025 14:55,18.0,51
17/01/2025 15:00,18.1,51
17/01/2025 15:05,18.1,51
17/01/2025 15:10,18.1,51
17/01/2025 15:15,18.1,51
17/01/2025 15:20,18.1,51
17/01/2025 15:25,18.0,51
17/01/2025 15:30,17.9,51
17/01/2025 15:35,17.9,51
17/01/2025 15:40,17.9,51
17/01/2025 15:45,17.9,51
17/01/2025 15:50,17.8,51
17/01/2025 15:55,17.8,51
17/01/2025 16:00,17.8,51
17/01/2025 16:05,17.7,51
17/01/2025 16:10,17.7,51
17/01/2025 16:15,17.7,51
17/01/2025 16:20,17.6,51
17/01/2025 16:25,17.5,54
17/01/2025 16:30,17.5,55
17/01/2025 16:35,17.5,55
17/01/2025 16:40,17.5,55
17/01/2025 16:45,17.5,55
17/01/2025 16:50,17.4,55
17/01/2025 16:55,17.4,55
17/01/2025 17:00,17.3,55
17/01/2025 17:05,17.3,55
17/01/2025 17:10,17.3,55
17/01/2025 17:15,17.3,55
17/01/2025 17:20,17.3,55
17/01/2025 17:25,17.2,55
17/01/2025 17:30,17.2,55
17/01/2025 17:35,17.2,55
17/01/2025 17:40,17.2,55
17/01/2025 17:45,17.2,55
17/01/2025 17:50,17.2,55
17/01/2025 17:55,17.2,55
17/01/2025 18:00,17.2,55
17/01/2025 18:05,17.3,55
17/01/2025 18:10,17.3,55
17/01/2025 18:15,17.3,55
17/01/2025 18:20,17.3,54
17/01/2025 18:25,17.4,54
17/01/2025 18:30,17.5,54
17/01/2025 18:35,17.5,54
17/01/2025 18:40,17.5,54
17/01/2025 18:45,17.5,54
17/01/2025 18:50,17.6,51
17/01/2025 18:55,17.7,51
17/01/2025 19:00,17.7,51
17/01/2025 19:05,17.8,51
17/01/2025 19:10,17.8,51
17/01/2025 19:15,17.8,51
17/01/2025 19:20,17.8,51
17/01/2025 19:25,17.8,51
17/01/2025 19:30,17.8,51
17/01/2025 19:35,17.9,51
17/01/2025 19:40,17.9,51
17/01/2025 19:45,17.9,51
17/01/2025 19:50,17.9,51
17/01/2025 19:55,17.9,51
17/01/2025 20:00,17.9,51
17/01/2025 20:05,17.9,51
17/01/2025 20:10,17.9,51
17/01/2025 20:15,17.9,51
17/01/2025 20:20,17.8,51
17/01/2025 20:25,17.8,51
17/01/2025 20:30,17.8,51
17/01/2025 20:35,17.7,51
17/01/2025 20:40,17.6,51
17/01/2025 20:45,17.6,51
17/01/2025 20:50,17.5,54
17/01/2025 20:55,17.5,54
17/01/2025 21:00,17.5,54
17/01/2025 21:05,17.5,54
17/01/2025 21:10,17.4,54
17/01/2025 21:15,17.3,54
17/01/2025 21:20,17.3,54
17/01/2025 21:25,17.3,54
17/01/2025 21:30,17.3,54
