startUse,endUse,label,annotation_position
2024-11-25T18:00:00Z,2024-11-25T21:00:00Z,choir,
2024-11-25T19:00:00Z,2024-11-25T20:00:00Z,wellness class,
2024-11-26T10:00:00Z,2024-11-26T11:00:00Z,church/Yoga,
2024-11-27T09:30:00Z,2024-11-27T11:30:00Z,children,
2024-11-27T12:00:00Z,2024-11-27T19:00:00Z,creche,
2024-11-27T18:00:00Z,2024-11-27T21:00:00Z,choir 2,
2024-11-27T19:00:00Z,2024-11-27T21:30:00Z,AGM/church,
2024-11-27T19:00:00Z,2024-11-27T21:00:00Z,adult music,bottom left
2024-11-28T09:00:00Z,2024-11-28T17:30:00Z,Music Therapy/unknown blue,
2024-11-28T18:30:00Z,2024-11-28T19:30:00Z,fitness class,bottom left
2024-11-28T19:00:00Z,2024-11-28T20:00:00Z,church/unknown blue,
2024-11-29T13:00:00Z,2024-11-30T04:00:00Z,funeral reception,
2024-11-30T09:30:00Z,2024-11-30T15:30:00Z,funeral,
2024-11-30T15:30:00Z,2024-11-30T20:00:00Z,hall setup,bottom left
2024-12-01T10:30:00Z,2024-12-01T11:30:00Z,church,
2024-12-01T12:00:00Z,2024-12-01T16:00:00Z,lunch,
2024-12-02T18:00:00Z,2024-12-02T21:00:00Z,choir,
2024-12-03T10:00:00Z,2024-12-03T11:00:00Z,church/Yoga,
2024-12-03T19:00:00Z,2024-12-03T19:20:00Z,church,
2024-12-04T09:30:00Z,2024-12-04T11:30:00Z,children,
2024-12-04T14:00:00Z,2024-12-04T15:00:00Z,funeral,bottom left
2024-12-04T12:00:00Z,2024-12-04T19:00:00Z,creche,
2024-12-04T19:00:00Z,2024-12-04T21:00:00Z,choir 2,
2024-12-04T19:00:00Z,2024-12-04T20:00:00Z,adult music,bottom left
2024-12-05T09:00:00Z,2024-12-05T17:30:00Z,therapy/unknown blue,
2024-12-05T18:30:00Z,2024-12-05T19:30:00Z,fitness class,bottom left
2024-12-05T19:00:00Z,2024-12-05T20:00:00Z,church,
2024-12-07T08:30:00Z,2024-12-07T12:30:00Z,leaf clearing,
2024-12-07T14:00:00Z,2024-12-07T18:00:00Z,hall setup,
2024-12-08T10:30:00Z,2024-12-08T11:30:00Z,church/unknown_blue,
2024-12-08T11:15:00Z,2024-12-08T12:15:00Z,AGM,bottom left
2024-12-08T15:30:00Z,2024-12-08T16:30:00Z,concert,
2024-12-09T18:00:00Z,2024-12-09T21:00:00Z,choir,
2024-12-09T19:00:00Z,2024-12-09T20:00:00Z,wellness class,
