Time,Venue 9,Celsius(�C),Humidity(%rh),voltage
2023-02-07T00:06:24Z,177,14,49,38
2023-02-07T00:16:23Z,178,14,49,
2023-02-07T00:26:22Z,179,14,49,
2023-02-07T00:31:22Z,180,14,49,
2023-02-07T00:41:21Z,181,14,49,
2023-02-07T00:46:21Z,182,14,49,
2023-02-07T00:51:20Z,183,14,49,
2023-02-07T00:56:20Z,184,14,49,
2023-02-07T01:06:19Z,185,14,49,38
2023-02-07T01:16:18Z,186,14,49,
2023-02-07T01:31:17Z,187,14,49,
2023-02-07T01:36:16Z,188,14,49,
2023-02-07T01:41:15Z,189,14,49,
2023-02-07T01:46:15Z,190,14,49,
2023-02-07T01:56:14Z,191,14,49,
2023-02-07T02:06:13Z,192,14,49,38
2023-02-07T02:11:13Z,193,14,49,
2023-02-07T02:16:12Z,194,14,49,
2023-02-07T02:21:11Z,195,14,49,
2023-02-07T02:26:11Z,196,14,49,
2023-02-07T02:31:11Z,197,14,49,
2023-02-07T02:36:11Z,198,14,49,
2023-02-07T02:46:10Z,199,14,49,
2023-02-07T02:51:09Z,200,14,48,
2023-02-07T02:56:09Z,201,14,49,
2023-02-07T03:11:07Z,202,14,49,38
2023-02-07T03:16:07Z,203,14,49,
2023-02-07T03:21:06Z,204,14,49,
2023-02-07T03:26:06Z,205,14,49,
2023-02-07T03:36:05Z,206,14,49,
2023-02-07T03:41:04Z,207,14,49,
2023-02-07T03:46:04Z,208,14,48,
2023-02-07T03:51:03Z,209,14,48,
2023-02-07T03:56:02Z,210,14,49,
2023-02-07T04:11:01Z,211,14,48,38
2023-02-07T04:16:01Z,212,14,49,
2023-02-07T04:21:00Z,213,14,48,
2023-02-07T04:26:00Z,214,14,49,
2023-02-07T04:30:59Z,215,14,49,
2023-02-07T04:35:59Z,216,14,48,
2023-02-07T04:40:59Z,217,14,48,
2023-02-07T04:45:58Z,218,14,48,
2023-02-07T04:50:58Z,219,14,48,
2023-02-07T04:55:57Z,220,14,48,
2023-02-07T05:05:57Z,221,14,48,38
2023-02-07T05:10:56Z,222,14,48,
2023-02-07T05:15:56Z,223,14,48,
2023-02-07T05:20:56Z,224,14,48,
2023-02-07T05:25:55Z,225,14,48,
2023-02-07T05:35:54Z,226,14,48,
2023-02-07T05:40:53Z,227,14,48,
2023-02-07T05:45:53Z,228,14,48,
2023-02-07T05:50:52Z,229,14,48,
2023-02-07T05:55:52Z,230,14,48,
