startUse,endUse,label,annotation_position
2025-02-26T07:30:00Z,2025-02-26T17:30:00Z,nursery,top left
2025-02-27T07:30:00Z,2025-02-27T17:30:00Z,nursery,top left
2025-02-28T07:30:00Z,2025-02-28T17:30:00Z,nursery,top left
2025-03-03T07:30:00Z,2025-03-03T17:30:00Z,nursery,top left
2025-03-04T07:30:00Z,2025-03-04T17:30:00Z,nursery,top left
2025-03-05T07:30:00Z,2025-03-05T17:30:00Z,nursery,top left
2025-03-06T07:30:00Z,2025-03-06T17:30:00Z,nursery,top left
2025-03-07T07:30:00Z,2025-03-07T17:30:00Z,nursery,top left
2025-03-10T07:30:00Z,2025-03-10T17:30:00Z,nursery,top left
2025-03-11T07:30:00Z,2025-03-11T17:30:00Z,nursery,top left
2025-03-12T07:30:00Z,2025-03-12T17:30:00Z,nursery,top left
2025-03-13T07:30:00Z,2025-03-13T17:30:00Z,nursery,top left
2025-03-14T07:30:00Z,2025-03-14T17:30:00Z,nursery,top left

