time,temperature,rh
24/12/2024 10:44,12.4,74
24/12/2024 10:45,12.4,74
24/12/2024 10:50,12.4,74
24/12/2024 10:55,12.4,74
24/12/2024 11:00,12.6,72
24/12/2024 11:05,12.8,72
24/12/2024 11:10,12.9,72
24/12/2024 11:15,13.0,72
24/12/2024 11:20,13.0,72
24/12/2024 11:25,12.9,72
24/12/2024 11:30,12.9,72
24/12/2024 11:35,12.8,72
24/12/2024 11:40,12.8,72
24/12/2024 11:45,12.8,72
24/12/2024 11:50,12.8,72
24/12/2024 11:55,12.8,72
24/12/2024 12:00,12.9,72
24/12/2024 12:05,12.9,72
24/12/2024 12:10,12.9,72
24/12/2024 12:15,13.0,72
24/12/2024 12:20,13.0,72
24/12/2024 12:25,13.0,72
24/12/2024 12:30,12.9,72
24/12/2024 12:35,13.0,72
24/12/2024 12:40,13.1,73
24/12/2024 12:45,13.0,72
24/12/2024 12:50,13.0,72
24/12/2024 12:55,13.0,72
24/12/2024 13:00,13.0,72
24/12/2024 13:05,12.9,72
24/12/2024 13:10,13.0,72
24/12/2024 13:15,13.0,72
24/12/2024 13:20,13.0,72
24/12/2024 13:25,13.0,72
24/12/2024 13:30,13.0,72
24/12/2024 13:35,13.0,72
24/12/2024 13:40,13.1,72
24/12/2024 13:45,13.0,72
24/12/2024 13:50,13.0,72
24/12/2024 13:55,13.0,72
24/12/2024 14:00,13.0,72
24/12/2024 14:05,13.0,72
24/12/2024 14:10,13.1,72
24/12/2024 14:15,13.1,72
24/12/2024 14:20,13.1,72
24/12/2024 14:25,13.1,72
24/12/2024 14:30,13.1,73
24/12/2024 14:35,13.1,73
24/12/2024 14:40,13.1,73
24/12/2024 14:45,13.1,73
24/12/2024 14:50,13.1,73
24/12/2024 14:55,13.1,73
24/12/2024 15:00,13.1,73
24/12/2024 15:05,13.2,73
24/12/2024 15:10,13.2,73
24/12/2024 15:15,13.2,73
24/12/2024 15:20,13.2,73
24/12/2024 15:25,13.2,73
24/12/2024 15:30,13.2,73
24/12/2024 15:35,13.2,73
24/12/2024 15:40,13.2,73
24/12/2024 15:45,13.2,73
24/12/2024 15:50,13.2,73
24/12/2024 15:55,13.2,73
24/12/2024 16:00,13.3,73
24/12/2024 16:05,13.3,73
24/12/2024 16:10,13.3,73
24/12/2024 16:15,13.3,73
24/12/2024 16:20,13.3,73
24/12/2024 16:25,13.3,73
24/12/2024 16:30,13.3,73
24/12/2024 16:35,13.3,73
24/12/2024 16:40,13.4,73
24/12/2024 16:45,13.3,73
24/12/2024 16:50,13.3,73
24/12/2024 16:55,13.4,73
24/12/2024 17:00,13.4,73
24/12/2024 17:05,13.4,73
24/12/2024 17:10,13.4,73
24/12/2024 17:15,13.5,73
24/12/2024 17:20,13.5,73
24/12/2024 17:25,13.5,73
24/12/2024 17:30,13.5,73
24/12/2024 17:35,13.5,73
24/12/2024 17:40,13.5,73
24/12/2024 17:45,13.5,73
24/12/2024 17:50,13.5,73
24/12/2024 17:55,13.5,73
24/12/2024 18:00,13.5,74
24/12/2024 18:05,13.5,74
24/12/2024 18:10,13.5,74
24/12/2024 18:15,13.5,74
24/12/2024 18:20,13.5,74
24/12/2024 18:25,13.5,74
24/12/2024 18:30,13.5,74
24/12/2024 18:35,13.5,74
24/12/2024 18:40,13.5,74
24/12/2024 18:45,13.5,74
24/12/2024 18:50,13.5,74
24/12/2024 18:55,13.5,74
24/12/2024 19:00,13.5,74
24/12/2024 19:05,13.5,74
24/12/2024 19:10,13.5,74
24/12/2024 19:15,13.5,74
24/12/2024 19:20,13.5,74
24/12/2024 19:25,13.6,74
24/12/2024 19:30,13.6,74
24/12/2024 19:35,13.6,74
24/12/2024 19:40,13.5,74
24/12/2024 19:45,13.6,74
24/12/2024 19:50,13.6,74
24/12/2024 19:55,13.6,74
24/12/2024 20:00,13.6,74
24/12/2024 20:05,13.7,74
24/12/2024 20:10,13.6,74
24/12/2024 20:15,13.6,74
24/12/2024 20:20,13.7,74
24/12/2024 20:25,13.7,74
24/12/2024 20:30,13.7,74
24/12/2024 20:35,13.7,74
24/12/2024 20:40,13.7,74
24/12/2024 20:45,13.7,74
24/12/2024 20:50,13.7,74
24/12/2024 20:55,13.7,74
24/12/2024 21:00,13.7,74
24/12/2024 21:05,13.7,74
24/12/2024 21:10,13.8,74
24/12/2024 21:15,13.7,74
24/12/2024 21:20,13.8,74
24/12/2024 21:25,13.7,74
24/12/2024 21:30,13.8,74
24/12/2024 21:35,13.7,74
24/12/2024 21:40,13.8,74
24/12/2024 21:45,13.7,74
24/12/2024 21:50,13.8,74
24/12/2024 21:55,13.8,74
24/12/2024 22:00,13.8,74
24/12/2024 22:05,13.8,74
24/12/2024 22:10,13.8,74
24/12/2024 22:15,14.0,74
24/12/2024 22:20,14.1,74
24/12/2024 22:25,14.2,74
24/12/2024 22:30,14.4,75
24/12/2024 22:35,14.5,75
24/12/2024 22:40,14.7,75
24/12/2024 22:45,14.9,75
24/12/2024 22:50,15.0,75
24/12/2024 22:55,15.1,75
24/12/2024 23:00,15.5,75
24/12/2024 23:05,15.7,74
24/12/2024 23:10,15.8,72
24/12/2024 23:15,15.9,71
24/12/2024 23:20,16.0,70
24/12/2024 23:25,16.0,70
24/12/2024 23:30,16.1,69
24/12/2024 23:35,16.1,69
24/12/2024 23:40,16.2,69
24/12/2024 23:45,16.2,69
24/12/2024 23:50,16.2,68
24/12/2024 23:55,16.2,68
25/12/2024 0:00,16.3,68
25/12/2024 0:05,16.3,67
25/12/2024 0:10,16.3,67
25/12/2024 0:15,16.3,67
25/12/2024 0:20,16.7,69
25/12/2024 0:25,16.4,70
25/12/2024 0:30,16.3,72
25/12/2024 0:35,16.2,72
25/12/2024 0:40,15.9,73
25/12/2024 0:45,15.5,73
25/12/2024 0:50,15.3,74
25/12/2024 0:55,15.2,74
25/12/2024 1:00,15.0,74
25/12/2024 1:05,14.9,74
25/12/2024 1:10,14.8,74
25/12/2024 1:15,14.7,74
25/12/2024 1:20,14.6,74
25/12/2024 1:25,14.5,74
25/12/2024 1:30,14.5,74
25/12/2024 1:35,14.4,74
25/12/2024 1:40,14.4,74
25/12/2024 1:45,14.3,74
25/12/2024 1:50,14.3,74
25/12/2024 1:55,14.3,74
25/12/2024 2:00,14.2,74
25/12/2024 2:05,14.2,74
25/12/2024 2:10,14.2,74
25/12/2024 2:15,14.2,74
25/12/2024 2:20,14.1,74
25/12/2024 2:25,14.1,74
25/12/2024 2:30,14.1,74
25/12/2024 2:35,14.1,74
25/12/2024 2:40,14.0,74
25/12/2024 2:45,14.0,74
25/12/2024 2:50,14.0,74
25/12/2024 2:55,13.9,74
25/12/2024 3:00,13.9,74
25/12/2024 3:05,13.9,74
25/12/2024 3:10,13.8,74
25/12/2024 3:15,13.8,74
25/12/2024 3:20,13.8,74
25/12/2024 3:25,13.8,74
25/12/2024 3:30,13.8,74
25/12/2024 3:35,13.8,74
25/12/2024 3:40,13.7,74
25/12/2024 3:45,13.7,74
25/12/2024 3:50,13.7,74
25/12/2024 3:55,13.7,74
25/12/2024 4:00,13.7,74
25/12/2024 4:05,13.7,74
25/12/2024 4:10,13.8,74
25/12/2024 4:15,13.8,74
25/12/2024 4:20,13.8,74
25/12/2024 4:25,13.8,74
25/12/2024 4:30,13.9,73
25/12/2024 4:35,13.9,73
25/12/2024 4:40,13.9,73
25/12/2024 4:45,13.9,73
25/12/2024 4:50,14.0,73
25/12/2024 4:55,14.0,73
25/12/2024 5:00,14.0,72
25/12/2024 5:05,14.1,72
25/12/2024 5:10,14.1,72
25/12/2024 5:15,14.1,72
25/12/2024 5:20,14.1,72
25/12/2024 5:25,14.1,72
25/12/2024 5:30,14.1,72
25/12/2024 5:35,14.1,72
25/12/2024 5:40,14.1,72
25/12/2024 5:45,14.1,72
25/12/2024 5:50,14.1,72
25/12/2024 5:55,14.1,72
25/12/2024 6:00,14.1,72
25/12/2024 6:05,14.1,72
25/12/2024 6:10,14.1,72
25/12/2024 6:15,14.1,72
25/12/2024 6:20,14.1,72
25/12/2024 6:25,14.1,72
25/12/2024 6:30,14.1,72
25/12/2024 6:35,14.1,72
25/12/2024 6:40,14.1,72
25/12/2024 6:45,14.1,72
25/12/2024 6:50,14.1,72
25/12/2024 6:55,14.1,72
25/12/2024 7:00,14.1,72
25/12/2024 7:05,14.1,72
25/12/2024 7:10,14.1,72
25/12/2024 7:15,14.1,72
25/12/2024 7:20,14.1,72
25/12/2024 7:25,14.1,72
25/12/2024 7:30,14.1,72
25/12/2024 7:35,14.1,72
25/12/2024 7:40,14.1,72
25/12/2024 7:45,14.1,72
25/12/2024 7:50,14.1,72
25/12/2024 7:55,14.1,72
25/12/2024 8:00,14.1,72
25/12/2024 8:05,14.1,72
25/12/2024 8:10,14.1,72
25/12/2024 8:15,14.1,72
25/12/2024 8:20,14.1,72
25/12/2024 8:25,14.1,72
25/12/2024 8:30,14.1,72
25/12/2024 8:35,14.1,72
25/12/2024 8:40,14.1,72
25/12/2024 8:45,14.1,72
25/12/2024 8:50,14.1,72
25/12/2024 8:55,14.1,72
25/12/2024 9:00,14.1,72
25/12/2024 9:05,14.1,72
25/12/2024 9:10,14.1,72
25/12/2024 9:15,14.0,72
25/12/2024 9:20,14.1,72
25/12/2024 9:25,14.3,73
25/12/2024 9:30,14.5,74
25/12/2024 9:35,14.7,74
25/12/2024 9:40,14.8,73
25/12/2024 9:45,14.9,73
25/12/2024 9:50,14.9,73
25/12/2024 9:55,14.9,73
25/12/2024 10:00,15.0,73
25/12/2024 10:05,14.9,73
25/12/2024 10:10,14.8,73
25/12/2024 10:15,14.7,73
25/12/2024 10:20,14.6,73
25/12/2024 10:25,14.5,73
25/12/2024 10:30,14.5,73
25/12/2024 10:35,14.5,73
25/12/2024 10:40,14.5,73
25/12/2024 10:45,14.5,73
25/12/2024 10:50,14.5,73
25/12/2024 10:55,14.5,73
25/12/2024 11:00,14.5,73
25/12/2024 11:05,14.5,73
25/12/2024 11:10,14.5,73
25/12/2024 11:15,14.5,74
25/12/2024 11:20,14.7,74
25/12/2024 11:25,14.8,75
25/12/2024 11:30,14.8,75
25/12/2024 11:35,14.6,75
25/12/2024 11:40,14.5,74
25/12/2024 11:45,14.4,74
25/12/2024 11:50,14.3,74
25/12/2024 11:55,14.2,74
25/12/2024 12:00,14.2,74
25/12/2024 12:05,14.2,74
25/12/2024 12:10,14.2,74
25/12/2024 12:15,14.2,74
25/12/2024 12:20,14.1,74
25/12/2024 12:25,14.1,74
25/12/2024 12:30,14.1,74
25/12/2024 12:35,14.1,73
25/12/2024 12:40,14.1,73
25/12/2024 12:45,14.1,73
25/12/2024 12:50,14.0,73
25/12/2024 12:55,14.0,73
25/12/2024 13:00,14.0,73
25/12/2024 13:05,14.0,73
25/12/2024 13:10,13.9,73
25/12/2024 13:15,13.9,73
25/12/2024 13:20,13.9,73
25/12/2024 13:25,13.9,73
25/12/2024 13:30,13.9,73
25/12/2024 13:35,13.9,73
25/12/2024 13:40,13.8,73
25/12/2024 13:45,13.8,73
25/12/2024 13:50,13.8,73
25/12/2024 13:55,13.8,73
25/12/2024 14:00,13.8,73
25/12/2024 14:05,13.8,73
25/12/2024 14:10,13.8,73
25/12/2024 14:15,13.7,73
25/12/2024 14:20,13.7,73
25/12/2024 14:25,13.7,73
25/12/2024 14:30,13.7,73
25/12/2024 14:35,13.6,74
25/12/2024 14:40,13.6,74
25/12/2024 14:45,13.6,74
25/12/2024 14:50,13.6,74
25/12/2024 14:55,13.5,74
25/12/2024 15:00,13.5,74
25/12/2024 15:05,13.5,74
25/12/2024 15:10,13.5,74
25/12/2024 15:15,13.5,74
25/12/2024 15:20,13.5,74
25/12/2024 15:25,13.5,74
25/12/2024 15:30,13.5,74
25/12/2024 15:35,13.5,74
25/12/2024 15:40,13.5,74
25/12/2024 15:45,13.4,74
25/12/2024 15:50,13.4,74
25/12/2024 15:55,13.4,74
25/12/2024 16:00,13.4,74
25/12/2024 16:05,13.4,74
25/12/2024 16:10,13.4,74
25/12/2024 16:15,13.4,74
25/12/2024 16:20,13.3,74
25/12/2024 16:25,13.3,74
25/12/2024 16:30,13.3,74
25/12/2024 16:35,13.3,74
25/12/2024 16:40,13.3,74
25/12/2024 16:45,13.3,74
25/12/2024 16:50,13.3,74
25/12/2024 16:55,13.3,74
25/12/2024 17:00,13.3,74
25/12/2024 17:05,13.3,74
25/12/2024 17:10,13.2,74
25/12/2024 17:15,13.2,74
25/12/2024 17:20,13.2,74
25/12/2024 17:25,13.2,74
25/12/2024 17:30,13.2,74
25/12/2024 17:35,13.2,74
25/12/2024 17:40,13.2,74
25/12/2024 17:45,13.2,74
25/12/2024 17:50,13.2,74
25/12/2024 17:55,13.2,74
25/12/2024 18:00,13.2,74
25/12/2024 18:05,13.2,74
25/12/2024 18:10,13.1,74
25/12/2024 18:15,13.1,74
25/12/2024 18:20,13.1,74
25/12/2024 18:25,13.1,74
25/12/2024 18:30,13.1,74
25/12/2024 18:35,13.1,74
25/12/2024 18:40,13.1,74
25/12/2024 18:45,13.1,74
25/12/2024 18:50,13.1,74
25/12/2024 18:55,13.1,74
25/12/2024 19:00,13.1,74
25/12/2024 19:05,13.1,74
25/12/2024 19:10,13.1,74
25/12/2024 19:15,13.1,74
25/12/2024 19:20,13.0,74
25/12/2024 19:25,13.0,74
25/12/2024 19:30,13.0,74
25/12/2024 19:35,13.0,74
25/12/2024 19:40,13.0,74
25/12/2024 19:45,13.0,74
25/12/2024 19:50,13.0,74
25/12/2024 19:55,13.0,74
25/12/2024 20:00,13.0,74
25/12/2024 20:05,13.0,74
25/12/2024 20:10,12.9,74
25/12/2024 20:15,12.9,74
25/12/2024 20:20,12.9,74
25/12/2024 20:25,12.9,74
25/12/2024 20:30,12.9,74
25/12/2024 20:35,12.9,74
25/12/2024 20:40,12.9,74
25/12/2024 20:45,12.9,74
25/12/2024 20:50,12.9,74
25/12/2024 20:55,12.9,74
25/12/2024 21:00,12.9,74
25/12/2024 21:05,12.9,74
25/12/2024 21:10,12.9,74
25/12/2024 21:15,12.9,74
25/12/2024 21:20,12.9,74
25/12/2024 21:25,12.9,74
25/12/2024 21:30,12.9,74
25/12/2024 21:35,12.8,74
25/12/2024 21:40,12.8,74
25/12/2024 21:45,12.8,74
25/12/2024 21:50,12.8,74
25/12/2024 21:55,12.8,74
25/12/2024 22:00,12.8,74
25/12/2024 22:05,12.8,74
25/12/2024 22:10,12.8,74
25/12/2024 22:15,12.8,74
25/12/2024 22:20,12.8,74
25/12/2024 22:25,12.8,74
25/12/2024 22:30,12.8,74
25/12/2024 22:35,12.8,74
25/12/2024 22:40,12.8,74
25/12/2024 22:45,12.8,74
25/12/2024 22:50,12.8,74
25/12/2024 22:55,12.8,74
25/12/2024 23:00,12.8,74
25/12/2024 23:05,12.8,74
25/12/2024 23:10,12.8,74
25/12/2024 23:15,12.8,74
25/12/2024 23:20,12.8,74
25/12/2024 23:25,12.8,74
25/12/2024 23:30,12.8,74
25/12/2024 23:35,12.8,74
25/12/2024 23:40,12.8,74
25/12/2024 23:45,12.8,74
25/12/2024 23:50,12.7,74
25/12/2024 23:55,12.7,74
26/12/2024 0:00,12.7,74
26/12/2024 0:05,12.7,74
26/12/2024 0:10,12.7,74
26/12/2024 0:15,12.7,74
26/12/2024 0:20,12.7,74
26/12/2024 0:25,12.7,74
26/12/2024 0:30,12.7,74
26/12/2024 0:35,12.7,74
26/12/2024 0:40,12.7,74
26/12/2024 0:45,12.7,74
26/12/2024 0:50,12.6,74
26/12/2024 0:55,12.7,74
26/12/2024 1:00,12.7,74
26/12/2024 1:05,12.7,74
26/12/2024 1:10,12.6,74
26/12/2024 1:15,12.6,74
26/12/2024 1:20,12.6,74
26/12/2024 1:25,12.6,74
26/12/2024 1:30,12.6,74
26/12/2024 1:35,12.6,74
26/12/2024 1:40,12.6,74
26/12/2024 1:45,12.6,74
26/12/2024 1:50,12.6,74
26/12/2024 1:55,12.6,74
26/12/2024 2:00,12.6,74
26/12/2024 2:05,12.6,74
26/12/2024 2:10,12.5,77
26/12/2024 2:15,12.5,77
26/12/2024 2:20,12.6,74
26/12/2024 2:25,12.5,77
26/12/2024 2:30,12.5,77
26/12/2024 2:35,12.5,77
26/12/2024 2:40,12.5,77
26/12/2024 2:45,12.5,77
26/12/2024 2:50,12.5,77
26/12/2024 2:55,12.5,77
26/12/2024 3:00,12.5,77
26/12/2024 3:05,12.5,77
26/12/2024 3:10,12.5,77
26/12/2024 3:15,12.5,77
26/12/2024 3:20,12.5,77
26/12/2024 3:25,12.5,77
26/12/2024 3:30,12.5,77
26/12/2024 3:35,12.5,77
26/12/2024 3:40,12.5,77
26/12/2024 3:45,12.5,77
26/12/2024 3:50,12.5,77
26/12/2024 3:55,12.5,77
26/12/2024 4:00,12.5,77
26/12/2024 4:05,12.5,77
26/12/2024 4:10,12.5,77
26/12/2024 4:15,12.5,77
26/12/2024 4:20,12.5,77
26/12/2024 4:25,12.5,77
26/12/2024 4:30,12.5,77
26/12/2024 4:35,12.4,77
26/12/2024 4:40,12.5,77
26/12/2024 4:45,12.4,77
26/12/2024 4:50,12.4,77
26/12/2024 4:55,12.4,77
26/12/2024 5:00,12.4,77
26/12/2024 5:05,12.4,77
26/12/2024 5:10,12.4,77
26/12/2024 5:15,12.4,77
26/12/2024 5:20,12.4,77
26/12/2024 5:25,12.4,77
26/12/2024 5:30,12.4,77
26/12/2024 5:35,12.4,77
26/12/2024 5:40,12.4,77
26/12/2024 5:45,12.4,77
26/12/2024 5:50,12.4,77
26/12/2024 5:55,12.3,77
26/12/2024 6:00,12.3,77
26/12/2024 6:05,12.3,77
26/12/2024 6:10,12.3,77
26/12/2024 6:15,12.3,77
26/12/2024 6:20,12.3,77
26/12/2024 6:25,12.3,77
26/12/2024 6:30,12.3,77
26/12/2024 6:35,12.3,77
26/12/2024 6:40,12.3,77
26/12/2024 6:45,12.3,77
26/12/2024 6:50,12.3,77
26/12/2024 6:55,12.3,77
26/12/2024 7:00,12.3,77
26/12/2024 7:05,12.3,77
26/12/2024 7:10,12.3,77
26/12/2024 7:15,12.3,77
26/12/2024 7:20,12.3,77
26/12/2024 7:25,12.3,77
26/12/2024 7:30,12.3,77
26/12/2024 7:35,12.3,77
26/12/2024 7:40,12.3,77
26/12/2024 7:45,12.3,77
26/12/2024 7:50,12.2,77
26/12/2024 7:55,12.3,77
26/12/2024 8:00,12.2,77
26/12/2024 8:05,12.2,77
26/12/2024 8:10,12.2,77
26/12/2024 8:15,12.2,77
26/12/2024 8:20,12.2,77
26/12/2024 8:25,12.2,77
26/12/2024 8:30,12.2,77
26/12/2024 8:35,12.2,78
26/12/2024 8:40,12.2,77
26/12/2024 8:45,12.2,78
26/12/2024 8:50,12.2,77
26/12/2024 8:55,12.2,78
26/12/2024 9:00,12.2,78
26/12/2024 9:05,12.2,78
26/12/2024 9:10,12.2,78
26/12/2024 9:15,12.2,78
26/12/2024 9:20,12.2,78
26/12/2024 9:25,12.2,77
26/12/2024 9:30,12.2,78
26/12/2024 9:35,12.2,78
26/12/2024 9:40,12.2,78
26/12/2024 9:45,12.2,78
26/12/2024 9:50,12.2,78
26/12/2024 9:55,12.2,78
26/12/2024 10:00,12.1,78
26/12/2024 10:05,12.1,78
26/12/2024 10:10,12.1,78
26/12/2024 10:15,12.1,78
