startUse,endUse,label,annotation_position
2024-12-22T10:15:00Z,2024-12-22T11:45:00Z,Sunday Service,top left
2024-12-22T16:00:00Z,2024-12-22T18:00:00Z,Christingle,top left
2024-12-24T23:00:00Z,2024-12-25T01:00:00Z,Midnight,top left
2024-12-25T10:00:00Z,2024-12-25T11:30:00Z,Service,top left
2024-12-26T10:00:00Z,2024-12-26T11:30:00Z,Service,top left
2024-12-26T18:00:00Z,2024-12-26T19:00:00Z,Quiet Space,top left
2024-12-29T10:15:00Z,2024-12-29T11:45:00Z,Sunday Service,top left
2025-01-02T10:00:00Z,2025-01-02T11:00:00Z,Service,top left
2025-01-02T18:00:00Z,2025-01-02T19:00:00Z,Quiet Space,top left
2025-01-04T10:00:00Z,2025-01-04T11:00:00Z,Healing,top left
2025-01-05T10:15:00Z,2025-01-05T11:45:00Z,Service,top left



