startUse,endUse,label,annotation_position
2024-12-22T09:30:00Z,2024-12-22T12:30:00Z,Church use,top left
2024-12-22T13:00:00Z,2024-12-22T16:00:00Z,hall booking,top left
2024-12-22T17:00:00Z,2024-12-22T20:00:00Z,hall booking,top left
2024-12-23T19:00:00Z,2024-12-23T22:00:00Z,hall booking,top left
2024-12-24T19:00:00Z,2024-12-24T22:00:00Z,hall booking,top left
2024-12-25T10:00:00Z,2024-12-25T11:30:00Z,Upper hall - Prayer,bottom left
2024-12-25T19:00:00Z,2024-12-25T22:00:00Z,hall booking,top left
2024-12-27T14:00:00Z,2024-12-27T18:00:00Z,Prayer,top left
2024-12-27T16:00:00Z,2024-12-27T17:00:00Z,Upper hall - Prayer,bottom left
2024-12-28T10:00:00Z,2024-12-28T12:00:00Z,hall booking,top left
2024-12-28T16:45:00Z,2024-12-28T18:15:00Z,upper hall booking,bottom left
2024-12-28T09:30:00Z,2024-12-28T12:30:00Z,Church use,top left
2024-12-28T13:00:00Z,2024-12-28T16:00:00Z,hall booking,top left
2024-12-28T17:00:00Z,2024-12-28T21:00:00Z,hall booking,top left
2024-12-29T09:30:00Z,2024-12-29T12:30:00Z,Church Use,top left
2024-12-29T13:00:00Z,2024-12-29T16:00:00Z,hall booking,top left
2024-12-29T17:00:00Z,2024-12-29T21:00:00Z,hall booking,top left
2024-12-29T08:00:00Z,2024-12-29T09:30:00Z,Upper hall - Prayer,bottom left
2024-12-30T19:30:00Z,2024-12-30T22:00:00Z,hall booking,top left
2024-12-31T19:00:00Z,2024-12-31T21:00:00Z,hall booking,top left
2024-12-31T16:00:00Z,2024-12-31T21:00:00Z,upper hall booking,bottom left
2025-01-01T10:00:00Z,2025-01-01T13:00:00Z,hall booking,top left
2025-01-01T19:30:00Z,2025-01-01T21:00:00Z,hall booking,top left
2025-01-02T19:00:00Z,2025-01-02T21:00:00Z,hall booking,top left
2025-01-03T10:30:00Z,2025-01-03T12:00:00Z,hall booking,top left
2025-01-04T10:30:00Z,2025-01-04T12:00:00Z,hall booking,top left
2025-01-04T18:00:00Z,2025-01-04T22:00:00Z,hall booking,top left
2025-01-04T16:45:00Z,2025-01-04T18:15:00Z,upper hall booking,bottom left
2025-01-05T09:30:00Z,2025-01-05T12:30:00Z,Church Use,top left
2025-01-05T13:00:00Z,2025-01-05T16:00:00Z,hall booking,top left
2025-01-05T17:00:00Z,2025-01-05T21:00:00Z,hall booking,top left
2025-01-05T08:00:00Z,2025-01-05T09:30:00Z,Upper hall - Prayer,bottom left
2025-01-06T19:30:00Z,2025-01-06T22:00:00Z,hall booking,top left
2025-01-07T19:00:00Z,2025-01-07T21:00:00Z,hall booking,top left
2025-01-07T16:00:00Z,2025-01-07T21:00:00Z,upper hall booking,bottom left
2025-01-08T10:00:00Z,2025-01-08T13:00:00Z,hall booking,top left
2025-01-08T19:30:00Z,2025-01-08T21:00:00Z,hall booking,top left
2025-01-09T19:00:00Z,2025-01-09T22:00:00Z,hall booking,top left
2025-01-10T10:30:00Z,2025-01-10T12:00:00Z,hall booking,top left
2025-01-11T10:30:00Z,2025-01-11T12:00:00Z,hall booking,top left
2025-01-11T18:00:00Z,2025-01-11T22:00:00Z,hall booking,top left
2025-01-11T16:45:00Z,2025-01-11T18:15:00Z,upper hall booking,bottom left
